household_id,id,rent_monthly,bedrooms_overcrowding,rooms,rooms_overcrowding,has_toilet,has_fridge,tablets_owned_count,males_under_12,males_over_12,males_total,females_under_12,females_over_12,females_total,persons_under_12,persons_over_12,persons_total,total_household,schooling,household_size,walls_brick,walls_socket,walls_prefab,walls_waste,walls_wood,walls_zinc,walls_natural,walls_other,floor_tile,floor_cement,floor_other,floor_natural,floor_na,floor_wood,roof_metal,roof_cement,roof_natural,roof_other,has_cieling,water_inside,water_outside,water_na,elec_public,elec_private,elec_na,elec_coop,toilet_na,toilet_sewer,toilet_septank,toilet_latrine,toilet_other,energ_na,energ_cook_elec,energ_cook_gas,energ_cook_wood,trash_truck,trash_buried,trash_burn,trash_dump,trash_water,trash_other,qualwall_bad,qualwall_reg,qualwall_good,qualroof_bad,qualroof_reg,qualroof_good,qualfloor_bad,qualfloor_reg,qualfloor_good,male,female,ec_under_10,ec_free_union,ec_married,ec_divorced,ec_separated,ec_widow/er,ec_single,pc_house_head,pc_spouse,pc_child,pc_stepchild,pc_child_inlaw,pc_grandchild,pc_parent,pc_parent_inlaw,pc_sibling,pc_sibling_inlaw,pc_fam_other,pc_nonfam_other,total_children,total_adults,total_seniors,total_members,mean_edu,bedrooms,overcrowding,house_own,house_mortgage,house_rent,house_prec,house_other,has_computer,has_television,has_mobileph,total_mobileph,reg_central,reg_chorotega,reg_paccentral,reg_brunca,reg_huetaratl,reg_huetarnor,zone_urban,zone_rural,age,target,dis_cnt,mean_age
009ae1cec,ID_34dcbf486,0,0,4,0,1,1,0,1,0,1,0,2,2,1,2,3,3,11,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,11,2,1.5,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,34,2,0,19
00e3e05c5,ID_1bbcf6f2a,0,0,5,0,1,1,0,1,1,2,0,1,1,1,2,3,3,9,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,8,2,1.5,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,36,4,0,24.33333333
00e443b00,ID_c7d7b6515,205000,0,3,0,1,1,0,0,1,1,0,0,0,0,1,1,1,14,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,2,0.5,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,40,4,0,40
00edc0d0f,ID_39c99a994,0,0,6,0,1,1,0,1,2,3,1,2,3,2,4,6,6,13,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,13.75,3,2,1,0,0,0,0,1,1,1,4,1,0,0,0,0,0,1,0,57,4,0,28.5
0108c62b8,ID_e281c9b27,0,0,4,0,1,1,0,0,1,1,2,3,5,2,4,6,6,9,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,7,2,3,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,29,4,2,22.16666667
013962b12,ID_07cb6ab80,0,0,4,0,1,1,0,0,1,1,0,1,1,0,2,2,2,11,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12.5,2,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,34,4,0,30
013e9ee6a,ID_8178e9e3e,0,0,6,0,1,1,0,0,1,1,0,1,1,0,2,2,2,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,4,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,75,4,2,75
0172ab1d9,ID_c76b87004,0,0,5,0,1,1,0,0,2,2,0,3,3,0,5,5,5,6,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,7.6666665,3,1.6666666,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,48,3,0,30.2
0194d569d,ID_0b7435665,0,0,5,0,1,1,0,0,1,1,0,0,0,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1.6666666,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,53,4,0,53
01c6fcb6e,ID_aa062266d,0,0,3,0,1,1,0,0,0,0,0,1,1,0,1,1,1,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,70,3,0,70
01d2e2b0b,ID_3a7e757d3,0,0,4,0,1,1,0,1,1,2,0,1,1,1,2,3,3,6,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,6,2,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,43,1,0,20
01ff6a086,ID_de8cb1951,0,0,5,0,1,1,0,0,1,1,0,1,1,0,2,2,2,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2.5,2,1,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,65,4,0,65.5
20713493,ID_34570a74c,0,0,7,0,1,1,0,0,0,0,0,1,1,0,1,1,1,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,2,0.5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,72,4,0,72
023edfed0,ID_064150acd,84529,0,3,0,1,1,0,1,0,1,0,2,2,1,2,3,3,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,10,2,1.5,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,24,4,0,16.66666667
0250e0b59,ID_bac04150a,0,0,9,0,1,1,2,0,2,2,0,1,1,0,3,3,3,17,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,17.333334,5,0.60000002,1,0,0,0,0,1,1,1,3,1,0,0,0,0,0,1,0,79,4,0,61
27651991,ID_b13870a19,40000,0,4,0,1,0,0,0,1,1,0,0,0,0,1,1,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,2,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,68,3,0,68
029f3d736,ID_dde5a2407,0,0,4,0,1,1,0,0,2,2,1,1,2,1,3,4,4,6,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,10,2,2,1,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,1,74,4,1,33.5
02a3da971,ID_bf8a5c633,0,0,5,0,1,1,0,0,1,1,0,1,1,0,2,2,2,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,6,3,0.66666669,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,72,2,0,52.5
02ae50d8f,ID_5b794f0f0,0,0,5,0,1,1,1,0,1,1,0,1,1,0,2,2,2,11,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,10.5,3,0.66666669,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,51,4,0,53
02e9bb4e7,ID_6d968964d,0,0,4,0,1,1,0,0,2,2,0,1,1,0,3,3,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3,2,1.5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,57,3,0,44
02f34e26c,ID_34198afd1,0,0,6,0,1,1,0,1,2,3,0,3,3,1,5,6,6,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,8,4,1.5,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,1,0,50,2,0,29.5
02ff93d1e,ID_5a1d47122,0,0,5,0,1,1,1,0,3,3,1,2,3,1,5,6,6,14,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,13.25,3,2,1,0,0,0,0,0,1,1,6,0,0,1,0,0,0,1,0,62,4,1,39.66666667
032d9f940,ID_295ef88fa,110000,0,4,0,1,1,0,0,4,4,1,1,2,1,5,6,6,6,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,8.75,2,3,0,0,1,0,0,0,1,1,5,1,0,0,0,0,0,1,0,45,3,0,26.16666667
033c39c5c,ID_cae57041e,0,0,4,0,1,1,0,0,1,1,2,1,3,2,2,4,4,6,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,6,3,1.3333334,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,37,3,0,22.25
035bb4b72,ID_dae66b16a,0,0,6,0,1,1,2,1,1,2,0,4,4,1,5,6,6,15,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,12.75,4,1.5,1,0,0,0,0,0,1,1,5,1,0,0,0,0,0,1,0,50,4,0,29
0369a5d78,ID_bb7fcab9c,160000,0,6,0,1,1,1,0,1,1,1,1,2,1,2,3,3,11,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,13.5,2,1.5,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,38,4,1,28.33333333
039745cbe,ID_6d289b529,0,0,5,0,1,1,1,0,0,0,1,2,3,1,2,3,3,14,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,10,3,1,0,0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,1,34,4,0,34.66666667
03b23f2b1,ID_901295a2d,0,0,5,0,1,1,1,1,1,2,0,2,2,1,3,4,4,13,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,13,2,2,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,30,4,0,28.5
03c78a7a9,ID_a0da6f66c,0,0,5,0,1,1,0,0,2,2,0,2,2,0,4,4,4,11,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,8.5,3,1.3333334,1,0,0,0,0,1,0,1,4,1,0,0,0,0,0,1,0,75,4,0,64
03d27346e,ID_61eef54d3,450000,0,6,0,1,1,0,0,0,0,0,3,3,0,3,3,3,19,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14.333333,3,1,0,0,1,0,0,1,0,1,3,1,0,0,0,0,0,1,0,50,4,0,30
03f00ec52,ID_8ec0e509e,0,0,3,0,1,1,1,1,1,2,0,1,1,1,2,3,3,9,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,10,1,3,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,36,4,0,26.33333333
03f4e5f4d,ID_dacc27817,0,0,5,0,1,1,0,0,1,1,0,2,2,0,3,3,3,6,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,14.5,3,1,1,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,1,58,1,0,33.33333333
043cef77c,ID_b94220c7f,0,0,3,0,1,1,0,0,0,0,0,2,2,0,2,2,2,6,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,6,1,2,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,40,4,0,28
45038655,ID_74e989389,0,0,4,0,1,1,0,0,0,0,0,1,1,0,1,1,1,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,0.5,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,62,4,0,62
0473832dd,ID_84e79c9d1,0,0,5,0,1,1,1,0,1,1,1,2,3,1,3,4,4,9,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,10.5,3,1.3333334,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,1,0,45,4,1,28.5
047659c0f,ID_d0cb68fc9,0,0,2,0,1,1,0,0,1,1,0,1,1,0,2,2,2,6,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,1,2,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,1,48,1,0,49
048d64af0,ID_fe7cc1007,0,0,7,0,1,1,0,0,1,1,0,3,3,0,4,4,4,11,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,4,1,1,0,0,0,0,0,1,1,4,1,0,0,0,0,0,1,0,52,4,0,36.5
04a032c94,ID_d62cfd469,0,0,6,0,1,1,0,0,2,2,0,0,0,0,2,2,2,6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8.5,4,0.5,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,63,4,1,59.5
