,0
698,3
699,3
700,1
701,4
702,4
703,4
704,2
705,4
706,4
707,4
708,1
709,4
710,1
711,4
712,4
713,4
714,4
715,4
716,4
717,1
718,4
719,2
720,4
721,1
722,4
723,4
724,4
725,4
726,4
727,2
728,4
729,2
730,4
731,3
732,4
733,3
734,4
735,4
736,3
737,4
738,4
739,4
740,4
741,4
742,4
743,2
744,4
745,1
746,4
747,3
748,4
749,4
750,4
751,3
752,1
753,2
754,4
755,4
756,2
757,2
758,4
759,1
760,3
761,2
762,4
763,4
764,2
765,2
766,4
767,4
768,4
769,1
770,2
771,4
772,2
773,4
774,4
775,4
776,4
777,4
778,4
779,3
780,1
781,4
782,4
783,4
784,4
785,4
786,3
787,4
788,4
789,4
790,4
791,4
792,4
793,3
794,4
795,4
796,4
797,4
798,3
799,4
800,4
801,4
802,3
803,2
804,4
805,4
806,4
807,4
808,4
809,4
810,2
811,4
812,2
813,3
814,3
815,4
816,4
817,3
818,4
819,4
820,4
821,4
822,4
823,4
824,4
825,4
826,2
827,4
828,3
829,3
830,2
831,1
832,4
833,4
834,4
835,4
836,3
837,4
838,4
839,4
840,4
841,4
842,2
843,4
844,4
845,1
846,4
847,4
848,4
849,4
850,4
851,4
852,3
853,4
854,4
855,2
856,4
857,4
858,4
859,4
860,4
861,4
862,4
863,2
864,2
865,4
866,3
867,4
868,4
869,2
870,4
871,4
872,4
873,4
874,2
875,3
876,4
877,4
878,3
879,4
880,4
881,1
882,4
883,4
884,3
885,3
886,3
887,1
888,4
889,4
890,4
891,4
892,4
893,4
894,4
895,2
896,4
897,3
898,3
899,4
900,2
901,4
902,3
903,3
904,4
905,4
906,3
907,3
908,4
909,4
910,4
911,4
912,4
913,3
914,4
915,4
916,4
917,4
918,1
919,4
920,4
921,2
922,4
923,4
924,4
925,1
926,1
927,4
928,3
929,4
930,3
931,4
932,4
933,2
934,4
935,4
936,4
937,2
938,4
939,4
940,4
941,4
942,3
943,2
944,3
945,4
946,4
947,2
948,4
949,4
950,1
951,4
952,3
953,4
954,4
955,4
956,4
957,2
958,4
959,2
960,3
961,4
962,2
963,4
964,1
965,4
966,4
967,3
968,4
969,4
970,4
971,3
972,3
973,4
974,4
975,4
976,4
977,4
978,4
979,4
980,4
981,4
982,4
983,4
984,4
985,4
986,4
987,4
988,4
989,1
990,4
991,2
992,4
993,2
994,3
995,2
996,1
997,4
998,2
999,4
1000,4
1001,4
1002,1
1003,4
1004,4
1005,4
1006,1
1007,4
1008,4
1009,4
1010,2
1011,3
1012,3
1013,1
1014,4
1015,4
1016,4
1017,2
1018,4
1019,4
1020,4
1021,3
1022,4
1023,1
1024,4
1025,4
1026,4
1027,4
1028,4
1029,1
1030,4
1031,4
1032,4
1033,3
1034,4
1035,4
1036,4
1037,3
1038,2
1039,4
1040,4
1041,3
1042,4
1043,4
1044,4
1045,2
1046,4
1047,4
1048,2
1049,2
1050,4
1051,1
1052,4
1053,1
1054,2
1055,4
1056,4
1057,1
1058,4
1059,4
1060,4
1061,1
1062,4
1063,3
1064,3
1065,3
1066,4
1067,4
1068,2
1069,1
1070,4
1071,3
1072,4
1073,2
1074,3
1075,4
1076,4
1077,4
1078,4
1079,4
1080,3
1081,4
1082,4
1083,4
1084,4
1085,4
1086,1
1087,4
1088,4
1089,4
1090,4
1091,4
1092,2
1093,4
1094,3
1095,4
1096,4
1097,4
1098,4
1099,4
1100,2
1101,3
1102,4
1103,4
1104,4
1105,2
1106,4
1107,4
1108,4
1109,4
1110,3
1111,1
1112,4
1113,1
1114,1
1115,3
1116,4
1117,4
1118,2
1119,2
1120,4
1121,4
1122,4
1123,4
1124,4
1125,4
1126,1
1127,4
1128,3
1129,4
1130,4
1131,4
1132,3
1133,4
1134,4
1135,2
1136,4
1137,4
1138,4
1139,1
1140,4
1141,4
1142,4
1143,4
1144,2
1145,4
1146,4
1147,3
1148,1
1149,3
1150,4
1151,4
1152,4
1153,4
1154,4
1155,3
1156,4
1157,2
1158,4
1159,4
1160,4
1161,4
1162,2
1163,4
1164,2
1165,4
1166,3
1167,4
1168,2
1169,4
1170,3
1171,2
1172,4
1173,2
1174,4
1175,4
1176,4
1177,3
1178,4
1179,4
1180,3
1181,4
1182,3
1183,4
1184,3
1185,2
1186,4
1187,4
1188,4
1189,4
1190,2
1191,4
1192,4
1193,4
1194,3
1195,4
1196,4
1197,4
1198,4
1199,4
1200,3
1201,4
1202,3
1203,4
1204,4
1205,4
1206,4
1207,4
1208,4
1209,4
1210,2
1211,4
1212,2
1213,4
1214,4
1215,1
1216,2
1217,2
1218,4
1219,4
1220,4
1221,4
1222,3
1223,4
1224,4
1225,4
1226,4
1227,4
1228,4
1229,3
1230,4
1231,2
1232,4
1233,4
1234,4
1235,3
1236,4
1237,2
1238,4
1239,3
1240,4
1241,2
1242,4
1243,4
1244,4
1245,4
1246,2
1247,1
1248,4
1249,2
1250,1
1251,3
1252,4
1253,4
1254,2
1255,4
1256,4
1257,4
1258,4
1259,4
1260,4
1261,4
1262,4
1263,4
1264,4
1265,4
1266,4
1267,4
1268,1
1269,4
1270,4
1271,4
1272,4
1273,2
1274,4
1275,4
1276,4
1277,2
1278,4
1279,4
1280,4
1281,4
1282,4
1283,4
1284,4
1285,3
1286,4
1287,4
1288,4
1289,4
1290,4
1291,4
1292,3
1293,3
1294,4
1295,4
1296,2
1297,3
1298,4
1299,3
1300,1
1301,4
1302,1
1303,4
1304,4
1305,4
1306,4
1307,2
1308,4
1309,4
1310,1
1311,1
1312,4
1313,2
1314,4
1315,4
1316,1
1317,4
1318,4
1319,2
1320,2
1321,4
1322,4
1323,3
1324,2
1325,4
1326,4
1327,4
1328,2
1329,4
1330,4
1331,2
1332,4
1333,4
1334,2
1335,4
1336,2
1337,4
1338,4
1339,3
1340,4
1341,4
1342,4
1343,1
1344,4
1345,4
1346,4
1347,4
1348,2
1349,4
1350,4
1351,4
1352,4
1353,1
1354,4
1355,4
1356,4
1357,4
1358,2
1359,1
1360,2
1361,4
1362,4
1363,2
1364,4
1365,4
1366,4
1367,4
1368,4
1369,4
1370,4
1371,4
1372,2
1373,4
1374,1
1375,2
1376,4
1377,4
1378,4
1379,4
1380,4
1381,4
1382,3
1383,2
1384,3
1385,4
1386,3
1387,2
1388,4
1389,2
1390,4
1391,4
1392,4
1393,4
1394,4
1395,4
1396,1
1397,4
1398,4
1399,4
1400,4
1401,4
1402,4
1403,4
1404,4
1405,4
1406,4
1407,4
1408,4
1409,2
1410,4
1411,4
1412,4
1413,3
1414,4
1415,2
1416,4
1417,4
1418,2
1419,4
1420,4
1421,4
1422,2
1423,4
1424,4
1425,4
1426,4
1427,4
1428,4
1429,4
1430,3
1431,2
1432,4
1433,4
1434,4
1435,3
1436,2
1437,3
1438,3
1439,4
1440,3
1441,1
1442,3
1443,3
1444,3
1445,2
1446,2
1447,4
1448,3
1449,4
1450,4
1451,4
1452,1
1453,4
1454,4
1455,1
1456,1
1457,4
1458,1
1459,4
1460,4
1461,4
1462,4
1463,2
1464,4
1465,3
1466,4
1467,4
1468,4
1469,4
1470,1
1471,4
1472,4
1473,2
1474,3
1475,4
1476,4
1477,3
1478,2
1479,2
1480,4
1481,4
1482,4
1483,3
1484,2
1485,4
1486,1
1487,3
1488,4
1489,4
1490,2
1491,4
1492,4
1493,4
1494,4
1495,2
1496,4
1497,3
1498,3
1499,4
1500,3
1501,4
1502,2
1503,3
1504,4
1505,4
1506,4
1507,4
1508,4
1509,4
1510,4
1511,4
1512,4
1513,1
1514,4
1515,3
1516,2
1517,2
1518,3
1519,3
1520,4
1521,2
1522,4
1523,4
1524,4
1525,2
1526,4
1527,4
1528,4
1529,2
1530,3
1531,4
1532,4
1533,2
1534,4
1535,4
1536,4
1537,4
1538,4
1539,4
1540,4
1541,3
1542,4
1543,4
1544,3
1545,2
1546,3
1547,4
1548,4
1549,2
1550,3
1551,4
1552,4
1553,4
1554,4
1555,4
1556,4
1557,3
1558,4
1559,1
1560,4
1561,4
1562,4
1563,4
1564,4
1565,2
1566,4
1567,3
1568,4
1569,4
1570,4
1571,4
1572,4
1573,4
1574,4
1575,4
1576,4
1577,2
1578,2
1579,2
1580,2
1581,4
1582,4
1583,4
1584,4
1585,4
1586,4
1587,3
1588,4
1589,1
1590,4
1591,4
1592,4
1593,2
1594,4
1595,4
1596,4
1597,4
1598,4
1599,2
1600,4
1601,3
1602,4
1603,4
1604,4
1605,3
1606,3
1607,1
1608,2
1609,4
1610,4
1611,2
1612,1
1613,4
1614,4
1615,2
1616,4
1617,1
1618,2
1619,1
1620,4
1621,2
1622,3
1623,4
1624,4
1625,4
1626,4
1627,4
1628,4
1629,2
1630,1
1631,3
1632,4
1633,4
1634,4
1635,4
1636,4
1637,4
1638,1
1639,4
1640,4
1641,2
1642,4
1643,4
1644,4
1645,4
1646,4
1647,4
1648,4
1649,4
1650,4
1651,4
1652,4
1653,1
1654,2
1655,4
1656,4
1657,1
1658,2
1659,2
1660,2
1661,4
1662,4
1663,4
1664,4
1665,1
1666,4
1667,4
1668,4
1669,2
1670,4
1671,4
1672,4
1673,4
1674,4
1675,4
1676,2
1677,4
1678,4
1679,1
1680,4
1681,4
1682,4
1683,3
1684,4
1685,4
1686,4
1687,4
1688,4
1689,1
1690,3
1691,4
1692,3
1693,4
1694,4
1695,4
1696,4
1697,2
1698,3
1699,2
1700,4
1701,4
1702,2
1703,3
1704,4
1705,1
1706,1
1707,4
1708,4
1709,4
1710,4
1711,4
1712,3
1713,4
1714,4
1715,2
1716,2
1717,1
1718,4
1719,2
1720,2
1721,3
1722,2
1723,4
1724,1
1725,1
1726,2
1727,4
1728,3
1729,2
1730,4
1731,4
1732,4
1733,4
1734,3
1735,4
1736,4
1737,3
1738,4
1739,3
1740,4
1741,4
1742,2
1743,4
1744,2
1745,3
1746,4
1747,2
1748,4
1749,4
1750,4
1751,4
1752,2
1753,4
1754,4
1755,4
1756,4
1757,2
1758,4
1759,4
1760,4
1761,4
1762,4
1763,4
1764,4
1765,4
1766,4
1767,4
1768,1
1769,4
1770,4
1771,4
1772,4
1773,4
1774,4
1775,4
1776,2
1777,2
1778,4
1779,4
1780,4
1781,4
1782,4
1783,4
1784,1
1785,4
1786,2
1787,4
1788,4
1789,4
1790,4
1791,4
1792,3
1793,3
1794,1
1795,2
1796,4
1797,2
1798,4
1799,4
1800,4
1801,4
1802,4
1803,4
1804,4
1805,3
1806,1
1807,1
1808,4
1809,1
1810,1
1811,2
1812,4
1813,4
1814,4
1815,2
1816,4
1817,4
1818,1
1819,3
1820,2
1821,4
1822,4
1823,4
1824,4
1825,2
1826,4
1827,4
1828,4
1829,4
1830,2
1831,2
1832,4
1833,4
1834,3
1835,4
1836,4
1837,4
1838,4
1839,4
1840,4
1841,4
1842,3
1843,4
1844,4
1845,4
1846,4
1847,4
1848,4
1849,4
1850,4
1851,3
1852,4
1853,4
1854,4
1855,4
1856,4
1857,4
1858,1
1859,3
1860,3
1861,4
1862,4
1863,4
1864,4
1865,4
1866,4
1867,2
1868,3
1869,4
1870,2
1871,2
1872,4
1873,4
1874,4
1875,3
1876,4
1877,4
1878,4
1879,4
1880,4
1881,2
1882,4
1883,2
1884,4
1885,4
1886,4
1887,4
1888,3
1889,3
1890,3
1891,4
1892,4
1893,4
1894,4
1895,2
1896,2
1897,4
1898,4
1899,3
1900,2
1901,2
1902,1
1903,4
1904,4
1905,4
1906,3
1907,4
1908,4
1909,2
1910,4
1911,4
1912,4
1913,4
1914,3
1915,4
1916,4
1917,2
1918,4
1919,4
1920,2
1921,4
1922,2
1923,4
1924,4
1925,4
1926,4
1927,2
1928,4
1929,4
1930,4
1931,3
1932,4
1933,4
1934,4
1935,4
1936,4
1937,2
1938,4
1939,1
1940,4
1941,3
1942,4
1943,3
1944,4
1945,2
1946,4
1947,2
1948,4
1949,1
1950,4
1951,4
1952,2
1953,2
1954,4
1955,4
1956,4
1957,4
1958,2
1959,4
1960,4
1961,4
1962,4
1963,2
1964,2
1965,4
1966,4
1967,1
1968,4
1969,4
1970,4
1971,4
1972,4
1973,2
1974,4
1975,4
1976,4
1977,4
1978,4
1979,3
1980,4
1981,4
1982,2
1983,1
1984,4
1985,4
1986,4
1987,4
1988,4
1989,4
1990,4
1991,1
1992,4
1993,4
1994,4
1995,4
1996,4
1997,2
1998,4
1999,2
2000,4
2001,3
2002,4
2003,4
2004,3
2005,2
2006,4
2007,4
2008,4
2009,4
2010,4
2011,4
2012,4
2013,4
2014,4
2015,4
2016,4
2017,3
2018,4
2019,4
2020,4
2021,4
2022,4
2023,2
2024,3
2025,4
2026,4
2027,2
2028,4
2029,2
2030,2
2031,4
2032,2
2033,4
2034,4
2035,4
2036,2
2037,3
2038,4
2039,3
2040,4
2041,3
2042,4
2043,1
2044,4
2045,3
2046,4
2047,4
2048,3
2049,4
2050,1
2051,2
2052,4
2053,4
2054,1
2055,4
2056,4
2057,4
2058,3
2059,1
2060,4
2061,4
2062,1
2063,4
2064,4
2065,3
2066,2
2067,4
2068,3
2069,4
2070,2
2071,1
2072,4
2073,2
2074,4
2075,4
2076,4
2077,4
2078,4
2079,4
2080,2
2081,3
2082,4
2083,4
2084,4
2085,4
2086,4
2087,2
2088,4
2089,4
2090,2
2091,4
2092,4
2093,3
2094,4
2095,4
2096,3
2097,3
2098,4
2099,4
2100,4
2101,4
2102,3
2103,2
2104,4
2105,3
2106,2
2107,4
2108,4
2109,4
2110,2
2111,4
2112,4
2113,1
2114,4
2115,2
2116,4
2117,4
2118,4
2119,4
2120,4
2121,2
2122,4
2123,1
2124,4
2125,4
2126,4
2127,4
2128,4
2129,2
2130,4
2131,4
2132,4
2133,4
2134,4
2135,4
2136,4
2137,3
2138,4
2139,4
2140,4
2141,4
2142,2
2143,4
2144,4
2145,4
2146,4
2147,4
2148,3
2149,4
2150,4
2151,3
2152,4
2153,4
2154,4
2155,4
2156,4
2157,2
2158,2
2159,4
2160,4
2161,4
2162,4
2163,4
2164,2
2165,4
2166,1
2167,4
2168,4
2169,4
2170,4
2171,2
2172,4
2173,4
2174,2
2175,4
2176,3
2177,4
2178,4
2179,4
2180,4
2181,2
2182,4
2183,3
2184,3
2185,4
2186,4
2187,4
2188,1
2189,2
2190,1
2191,3
2192,4
2193,4
2194,2
2195,4
2196,2
2197,2
2198,4
2199,4
2200,4
2201,3
2202,2
2203,3
2204,4
2205,3
2206,4
2207,1
2208,4
2209,4
2210,3
2211,2
2212,4
2213,4
2214,4
2215,4
2216,4
2217,4
2218,4
2219,4
2220,4
2221,4
2222,2
2223,1
2224,4
2225,4
2226,4
2227,3
2228,4
2229,4
2230,4
2231,4
2232,4
2233,4
2234,4
2235,4
2236,2
2237,2
2238,4
2239,4
2240,4
2241,4
2242,4
2243,4
2244,2
2245,4
2246,4
2247,4
2248,4
2249,2
2250,1
2251,2
2252,4
2253,4
2254,4
2255,4
2256,4
2257,4
2258,1
2259,2
2260,4
2261,4
2262,4
2263,2
2264,4
2265,1
2266,4
2267,2
2268,2
2269,4
2270,3
2271,2
2272,4
2273,3
2274,1
2275,4
2276,4
2277,4
2278,3
2279,4
2280,2
2281,3
2282,4
2283,2
2284,4
2285,4
2286,4
2287,3
2288,4
2289,4
2290,4
2291,4
2292,4
2293,4
2294,2
2295,4
2296,4
2297,4
2298,4
2299,4
2300,2
2301,4
2302,3
2303,4
2304,1
2305,4
2306,2
2307,4
2308,4
2309,2
2310,1
2311,4
2312,2
2313,2
2314,2
2315,3
2316,4
2317,4
2318,2
2319,4
2320,4
2321,2
2322,2
2323,3
2324,4
2325,4
2326,4
2327,4
2328,2
2329,4
2330,4
2331,4
2332,4
2333,1
2334,3
2335,4
2336,2
2337,4
2338,1
2339,3
2340,4
2341,4
2342,2
2343,4
2344,2
2345,4
2346,1
2347,4
2348,4
2349,4
2350,2
2351,4
2352,4
2353,4
2354,4
2355,3
2356,4
2357,4
2358,4
2359,3
2360,4
2361,3
2362,4
2363,2
2364,4
2365,4
2366,4
2367,4
2368,4
2369,4
2370,4
2371,1
2372,4
2373,4
2374,4
2375,4
2376,4
2377,4
2378,4
2379,4
2380,3
2381,4
2382,4
2383,4
2384,2
2385,1
2386,3
2387,4
2388,4
2389,4
2390,4
2391,3
2392,4
2393,4
2394,4
2395,4
2396,1
2397,4
2398,4
2399,4
2400,4
2401,4
2402,1
2403,4
2404,4
2405,4
2406,4
2407,4
2408,4
2409,4
2410,2
2411,1
2412,4
2413,2
2414,2
2415,3
2416,2
2417,3
2418,4
2419,4
2420,2
2421,4
2422,4
2423,4
2424,2
2425,4
2426,4
2427,4
2428,4
2429,4
2430,4
2431,4
2432,4
2433,4
2434,4
2435,3
2436,4
2437,3
2438,4
2439,2
2440,4
2441,4
2442,4
2443,3
2444,2
2445,4
2446,4
2447,4
2448,4
2449,2
2450,1
2451,3
2452,4
2453,3
2454,4
2455,4
2456,4
2457,3
2458,2
2459,4
2460,4
2461,4
2462,2
2463,4
2464,4
2465,4
2466,4
2467,4
2468,4
2469,4
2470,4
2471,4
2472,4
2473,4
2474,3
2475,4
2476,3
2477,4
2478,2
2479,3
2480,4
2481,4
2482,2
2483,4
2484,1
2485,2
2486,4
2487,4
2488,4
2489,4
2490,2
2491,4
2492,4
2493,4
2494,4
2495,4
2496,4
2497,3
2498,4
2499,4
2500,4
2501,4
2502,4
2503,4
2504,4
2505,4
2506,4
2507,1
2508,2
2509,4
2510,4
2511,2
2512,4
2513,4
2514,2
2515,2
2516,4
2517,4
2518,2
2519,3
2520,4
2521,1
2522,4
2523,4
2524,4
2525,2
2526,4
2527,2
2528,2
2529,4
2530,1
2531,2
2532,3
2533,4
2534,4
2535,4
2536,4
2537,4
2538,4
2539,4
2540,4
2541,2
2542,4
2543,4
2544,1
2545,4
2546,4
2547,3
2548,4
2549,1
2550,4
2551,4
2552,1
2553,4
2554,4
2555,2
2556,2
2557,2
2558,4
2559,4
2560,4
2561,1
2562,4
2563,4
2564,4
2565,2
2566,4
2567,4
2568,4
2569,4
2570,1
2571,4
2572,4
2573,2
2574,4
2575,4
2576,4
2577,2
2578,4
2579,3
2580,1
2581,4
2582,1
2583,2
2584,1
2585,4
2586,1
2587,4
2588,3
2589,4
2590,4
2591,4
2592,4
2593,4
2594,4
2595,4
2596,3
2597,4
2598,4
2599,1
2600,4
2601,4
2602,4
2603,2
2604,2
2605,4
2606,4
2607,3
2608,1
2609,1
2610,4
2611,4
2612,4
2613,4
2614,4
2615,4
2616,4
2617,4
2618,4
2619,3
2620,4
2621,4
2622,4
2623,4
2624,4
2625,4
2626,2
2627,4
2628,4
2629,1
2630,4
2631,2
2632,2
2633,4
2634,3
2635,4
2636,4
2637,1
2638,4
2639,4
2640,4
2641,4
2642,4
2643,4
2644,4
2645,3
2646,4
2647,4
2648,2
2649,4
2650,4
2651,4
2652,3
2653,4
2654,4
2655,1
2656,4
2657,4
2658,3
2659,4
2660,4
2661,2
2662,4
2663,4
2664,4
2665,1
2666,4
2667,4
2668,2
2669,4
2670,2
2671,2
2672,4
2673,2
2674,1
2675,4
2676,2
2677,2
2678,4
2679,2
2680,4
2681,1
2682,4
2683,3
2684,1
2685,4
2686,4
2687,4
2688,2
2689,4
2690,2
2691,3
2692,4
2693,4
2694,4
2695,4
2696,4
2697,2
2698,4
2699,4
2700,4
2701,4
2702,4
2703,4
2704,1
2705,2
2706,4
2707,4
2708,4
2709,4
2710,4
2711,3
2712,4
2713,4
2714,4
2715,1
2716,2
2717,2
2718,4
2719,2
2720,4
2721,4
2722,4
2723,1
2724,4
2725,4
2726,4
2727,4
2728,2
2729,4
2730,4
2731,4
2732,4
2733,1
2734,4
2735,4
2736,4
2737,2
2738,1
2739,4
2740,4
2741,4
2742,4
2743,4
2744,4
2745,1
2746,4
2747,4
2748,4
2749,3
2750,1
2751,4
2752,4
2753,4
2754,4
2755,4
2756,1
2757,4
2758,4
2759,4
2760,4
2761,2
2762,4
2763,4
2764,4
2765,2
2766,3
2767,2
2768,4
2769,4
2770,4
2771,2
2772,4
2773,1
2774,3
2775,3
2776,4
2777,2
2778,4
2779,2
2780,4
2781,2
2782,4
2783,4
2784,2
2785,2
2786,4
2787,4
2788,2
2789,3
2790,3
2791,4
2792,1
2793,4
2794,2
2795,1
2796,4
2797,4
2798,4
2799,2
2800,4
2801,4
2802,4
2803,3
2804,4
2805,4
2806,3
2807,4
2808,4
2809,4
2810,4
2811,2
2812,2
2813,2
2814,4
2815,3
2816,2
2817,4
2818,4
2819,4
2820,4
2821,3
2822,4
2823,4
2824,4
2825,3
2826,4
2827,4
2828,4
2829,4
2830,4
2831,3
2832,2
2833,3
2834,4
2835,4
2836,4
2837,4
2838,3
2839,4
2840,2
2841,4
2842,3
2843,1
2844,4
2845,2
2846,4
2847,4
2848,3
2849,4
2850,4
2851,2
2852,4
2853,4
2854,4
2855,2
2856,4
2857,4
2858,4
2859,3
2860,4
2861,4
2862,2
2863,4
2864,3
2865,1
2866,4
2867,2
2868,4
2869,4
2870,2
2871,4
2872,1
2873,3
2874,4
2875,2
2876,4
2877,4
2878,4
2879,4
2880,1
2881,4
2882,4
2883,4
2884,2
2885,3
2886,4
2887,4
2888,4
2889,2
2890,1
2891,4
2892,4
2893,4
2894,4
2895,4
2896,4
2897,3
2898,4
2899,4
2900,2
2901,4
2902,3
2903,1
2904,4
2905,1
2906,4
2907,4
2908,4
2909,4
2910,4
2911,3
2912,4
2913,3
2914,4
2915,4
2916,4
2917,4
2918,4
2919,4
2920,2
2921,4
2922,4
2923,1
2924,4
2925,4
2926,2
2927,4
2928,1
2929,2
2930,4
2931,1
2932,4
2933,4
2934,4
2935,4
2936,2
2937,4
2938,4
2939,4
2940,4
2941,4
2942,4
2943,4
2944,2
2945,4
2946,3
2947,3
2948,2
2949,4
2950,1
2951,4
2952,4
2953,4
2954,4
2955,4
2956,4
2957,4
2958,2
2959,4
2960,4
2961,4
2962,4
2963,2
2964,4
2965,3
2966,4
2967,1
2968,4
2969,4
2970,4
2971,1
2972,4
